fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality
6.4,0.35,0.28,12.6,0.039,19,124,0.99539,3.2,0.43,10.6,6
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5
6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4
6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,6
7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,5
6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,5
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,5
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5
8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,6
6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7
8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6
7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
5.9,0.2,0.28,1,0.043,45,100,0.99033,3.4,0.41,11.4,6
7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7
7.7,0.24,0.3,1.4,0.041,15,102,0.9929,3.26,0.53,10.4,6
6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6
7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6
6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3
6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5
5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6
7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6
8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6
7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7
8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,5
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5
6.7,0.17,0.42,10.4,0.038,85,182,0.99628,3.04,0.44,8.9,6
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5
8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6
7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5
8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,6
7.3,0.34,0.3,9.4,0.057,34,178,0.99554,3.15,0.44,10.4,6
10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,6
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6
6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5
5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6
12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,6
6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,6
7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9,7
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
6.8,0.23,0.3,6.95,0.044,42,179,0.9946,3.25,0.56,10.6,6
6.6,0.25,0.35,2.9,0.034,38,121,0.99008,3.19,0.4,12.8,6
8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4
6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6
8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,6
6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7
10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5
7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5
6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5
6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5
6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,6
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5
8.3,0.2,0.49,1.7,0.038,38,167,0.9939,3.05,0.37,10.1,6
6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5
13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5
6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5
8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,7
